studyName,cruise,cycle,"size_fraction (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)",chl_phaeo_mean,chl_phaeo_std,chl_phaeo_n,chl_phaeo_95cl,int_chl_phaeo_mean,int_chl_phaeo_std,int_chl_phaeo_n,int_chl_phaeo_95cl,grazing_rate_mean,grazing_rate_std,grazing_rate_n,grazing_rate_95cl,"int_grazing_rate_mean (µg/m²/day)","int_grazing_rate_std (µg/m²/day)",int_grazing_rate_n,"int_grazing_rate_95cl (µg/m²/day)","int_grazing_rate_mg_mean (mg/m²/day)","int_grazing_rate_mg_std (mg/m²/day)",int_grazing_rate_mg_n,"int_grazing_rate_mg_95cl (mg/m²/day)","mass_specific_grazing_mean (ug/mg)","mass_specific_grazing_std (ug/mg)",mass_specific_grazing_n,"mass_specific_grazing_95cl (ug/mg)",mass_specific_grazing_rate_mean,mass_specific_grazing_rate_std,mass_specific_grazing_rate_n,mass_specific_grazing_rate_95cl
P1706,P1706,1,0.2,Day,3.10728,2.4276,3,6.03048,665.64,521.292,3,1294.96,0.274552,0.197129,3,0.489695,58.9467,42.5015,3,105.58,0.549771,0.394737,3,0.98058,2832.88,2042.55,3,5073.98,2.83288,2.04255,3,5.07398,0.08663,0.0320132,3,0.0795253,4.16329,1.5385,3,3.82185
P1706,P1706,1,Total,Day,40.5266,7.39778,3,18.3771,8649.42,1742.25,3,4327.98,1.32362,0.296563,3,0.736703,282.71,68.644,3,170.521,2.65046,0.593846,3,1.47519,13586.6,3298.91,3,8194.95,13.5866,3.29891,3,8.19495,0.0325144,0.00260777,3,0.00647806,1.56259,0.125325,3,0.311325
P1706,P1706,1,5,Night,16.049,8.81023,3,21.8858,3074.04,1797.38,3,4464.94,0.135889,0.0421827,3,0.104788,25.6581,8.14949,3,20.2445,0.272108,0.0844679,3,0.20983,1233.08,391.651,3,972.914,1.23308,0.391651,3,0.972914,0.00948369,0.0041387,3,0.0102811,0.45577,0.198899,3,0.494092
P1706,P1706,1,2,Night,16.4523,5.09376,3,12.6536,3127.87,1074.45,3,2669.09,0.441507,0.21506,3,0.534239,82.747,39.1037,3,97.139,0.884086,0.430642,3,1.06977,3976.68,1879.26,3,4668.33,3.97668,1.87926,3,4.66833,0.0269011,0.0131449,3,0.0326538,1.29282,0.631722,3,1.56928
P1706,P1706,1,1,Night,24.0331,15.0388,3,37.3583,4594.01,3033.89,3,7536.59,0.551833,0.102638,3,0.254967,103.743,14.4064,3,35.7876,1.10501,0.205526,3,0.510554,4985.69,692.349,3,1719.89,4.98569,0.692349,3,1.71989,0.0282391,0.0132716,3,0.0329686,1.35712,0.637812,3,1.58441
P1706,P1706,1,0.5,Night,4.59208,2.33587,3,5.80263,852.18,379.617,3,943.021,0.528041,0.0299914,3,0.0745029,99.7546,5.70727,3,14.1777,1.05737,0.0600557,3,0.149187,4794.04,274.282,3,681.354,4.79404,0.274282,3,0.681354,0.131449,0.0487186,3,0.121024,6.3172,2.34133,3,5.81619
P1706,P1706,1,0.2,Night,3.66155,3.50397,3,8.70434,701.554,695.823,3,1728.52,0.450641,0.176203,3,0.437712,86.3556,36.8031,3,91.424,0.902376,0.352833,3,0.876487,4150.1,1768.7,3,4393.68,4.1501,1.7687,3,4.39368,0.277408,0.334614,3,0.831227,13.3318,16.081,3,39.9474
P1706,P1706,1,Total,Night,64.788,31.459,3,78.1484,12349.6,6417.29,3,15941.4,2.10791,0.241167,3,0.599092,398.258,47.3351,3,117.587,4.22094,0.482919,3,1.19964,19139.6,2274.85,3,5651.03,19.1396,2.27485,3,5.65103,0.0363043,0.0117143,3,0.0290999,1.74472,0.562969,3,1.39849
P1706,P1706,1,5,"D-N average",12.5073,8.20833,6,8.61411,2501.65,1642.53,6,1723.73,0.11778,0.0365897,6,0.0383986,23.468,6.67404,6,7.00398,0.235846,0.0732684,6,0.0768904,1127.83,320.743,6,336.599,1.12783,0.320743,6,0.336599,0.0140902,0.0118192,6,0.0124035,0.677153,0.568009,6,0.596089
P1706,P1706,1,2,"D-N average",14.1395,6.74906,6,7.0827,2835.28,1391.23,6,1460,0.323145,0.193192,6,0.202743,63.2768,34.1536,6,35.842,0.647075,0.386854,6,0.405978,3040.97,1641.37,6,1722.51,3.04097,1.64137,6,1.72251,0.0251094,0.0117701,6,0.0123519,1.20672,0.56565,6,0.593613
